CollegeID,CourseId,StreamId,Duration,AnnualFees,InternationalFees,Eligibility
5,360,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,361,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,362,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,363,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,364,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,365,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,366,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,367,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,368,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,369,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,370,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,371,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,372,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,373,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,374,1,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,375,2,3 Years,NIL," $2,600.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,376,2,2 years,NIL," $3,100.00 ",The Candidate should have Graduated with minimum 50% marks
5,377,2,2 years,NIL," $3,100.00 ",The Candidate should have Graduated with minimum 50% marks
5,378,2,5 Years,NIL," $2,600.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,379,10,4 Years,NIL," $2,600.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,380,2,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,381,2,2 Years,NIL," $2,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,382,3,5 Years,NIL," $2,600.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,383,3,5 Years,NIL," $2,600.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,384,3,5 Years,NIL," $2,600.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,385,4,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,386,4,2 years,NIL," $2,000.00 ",The Candidate should have Graduated with minimum 50% marks
